epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.194,3.42705,4.44205,2.05367,0.04422,0.12559,0.02027,0.00583,3.03464,12.5235,1.71186,0.00018,0.00018,0.00018
2,233.629,3.02261,2.65964,1.72441,0.10057,0.2277,0.0629,0.01751,2.78821,3.98145,1.69104,0.00034238,0.00034238,0.00034238
3,344.318,2.8356,2.33159,1.6443,0.10751,0.25587,0.07325,0.02256,2.76152,2.51144,1.69065,0.00046516,0.00046516,0.00046516
4,458.009,2.74494,2.22311,1.66894,0.16248,0.3169,0.10787,0.03146,2.644,3.6526,1.64039,0.00054834,0.00054834,0.00054834
5,574.774,2.71654,2.07935,1.60589,0.14453,0.26526,0.10693,0.03032,2.75106,2.25969,1.61187,0.00059192,0.00059192,0.00059192
6,686.773,2.69117,2.01975,1.56986,0.17452,0.3662,0.14465,0.04413,2.55944,2.09241,1.57774,0.0005959,0.0005959,0.0005959
7,799.43,2.655,1.96746,1.59088,0.09643,0.29108,0.06932,0.01917,2.76717,2.57475,1.60228,0.00056028,0.00056028,0.00056028
8,910.513,2.57611,1.8781,1.54734,0.23207,0.32746,0.18139,0.05556,2.46068,1.96453,1.49414,0.00048506,0.00048506,0.00048506
9,1022.89,2.60213,1.86029,1.55652,0.2246,0.29225,0.18049,0.05936,2.51177,1.948,1.51967,0.00037024,0.00037024,0.00037024
10,1134.28,2.49713,1.84189,1.51848,0.26445,0.32864,0.21862,0.07383,2.4319,1.87261,1.47187,0.00021582,0.00021582,0.00021582
