epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1403.52,0,57.3602,0,0,0,0,0,3.56297,5.75806,2.77501,0.000194559,0.000194559,0.000194559
2,2817.14,0,4.41742,0,0,0,0,0,3.8656,6.90685,2.85503,0.000351893,0.000351893,0.000351893
3,4226.63,0,0.22679,0,0,0,0,0,3.98138,8.40511,2.96836,0.00047042,0.00047042,0.00047042
4,5637.65,0,0.00284,0,0,0,0,0,4.10088,9.39321,3.06364,0.000413364,0.000413364,0.000413364
5,7050.44,0,0,0,0,0,0,0,4.12961,9.60143,3.07038,0.000355152,0.000355152,0.000355152
6,8465.47,0,0,0,0,0,0,0,4.16409,9.70867,3.10517,0.00029694,0.00029694,0.00029694
7,9879.6,0,0,0,0,0,0,0,4.15662,9.79326,3.10139,0.000238728,0.000238728,0.000238728
8,11290,0,0,0,0,0,0,0,4.12984,9.85057,3.09391,0.000180516,0.000180516,0.000180516
9,12699.3,0,0,0,0,0,0,0,4.12326,9.88822,3.08918,0.000122304,0.000122304,0.000122304
10,14112.1,0,0,0,0,0,0,0,4.12389,9.90925,3.08946,6.4092e-05,6.4092e-05,6.4092e-05
